AT1G55560.SNP1393,9,0,0,24,11,2,7,2,1,11,5,15,0,0,0,24,28,36,1,1,0,0,1,2
AT1G55560.SNP1394,19,13,7,316,128,360,409,137,238,11,3,7,48,10,18,513,526,894,639,376,667,44,4,16
AT1G55560.SNP1395,20,10,14,354,154,204,368,129,256,10,10,14,33,17,60,403,340,545,417,495,485,47,19,58
AT1G55560.SNP1396,13,0,2,291,130,410,218,92,345,5,1,2,22,18,1,482,456,389,433,323,356,23,37,10
AT1G55560.SNP1397,3,0,0,199,113,374,218,218,347,22,0,0,11,6,36,534,420,394,349,356,355,33,10,0
AT1G55560.SNP1398,14,16,15,332,114,436,270,137,422,15,16,14,30,55,90,674,434,599,546,479,640,23,39,94
AT1G55560.SNP1399,0,16,0,41,20,6,169,98,156,9,17,0,17,0,8,48,73,61,181,220,214,17,12,8
AT1G65300.SNP2047,6,2,9,2775,1856,2404,2974,1926,2887,6,2,7,0,0,0,957,754,1027,1048,760,1222,0,0,0
AT1G65300.SNP2048,0,1,0,1173,1012,1226,1762,1622,2089,0,1,0,0,0,0,489,524,562,554,670,730,0,0,0
AT1G65300.SNP2049,0,0,0,676,671,685,584,657,574,0,19,0,0,0,0,289,250,237,296,267,273,0,0,0
AT1G65300.SNP2050,0,0,0,712,668,696,577,656,575,0,19,0,0,0,0,295,254,255,296,271,274,0,0,0
AT1G65300.SNP2051,0,0,0,713,671,695,577,648,574,0,19,0,0,0,0,295,257,256,296,271,274,0,0,0
AT1G65300.SNP2052,0,3,0,866,881,900,568,644,554,0,23,0,0,0,0,311,296,446,292,268,225,0,0,0
AT1G65300.SNP2053,7,0,16,3021,2569,2776,2980,2704,2696,7,0,16,2,1,0,1299,1213,1289,1297,1193,1454,2,0,0
AT1G65300.SNP2054,0,2,9,1897,1180,1585,2336,1675,2350,0,0,7,0,0,0,555,549,336,800,841,758,0,0,0
AT2G17690.SNP3063,0,0,10,2141,2314,2989,1357,1431,1914,0,0,9,0,0,0,1,3,19,1,3,22,0,0,0
AT2G17690.SNP3064,0,2,9,2573,3039,3537,1779,2056,2881,0,2,9,0,0,0,26,4,14,13,2,43,0,0,0
AT2G17690.SNP3065,18,20,0,3862,3819,5189,1861,1257,1942,11,6,0,0,0,0,28,5,5,6,12,3,0,0,0
AT2G17690.SNP3066,18,41,72,2232,2313,3056,1928,1734,2818,28,38,104,0,1,19,8,10,0,6,4,1,0,19,18
AT2G17690.SNP3067,107,40,68,4101,4145,5491,3996,4192,5591,80,34,43,2,0,0,39,9,16,37,15,13,2,0,0
AT2G17690.SNP3068,122,135,346,5780,6178,7304,5238,5999,6486,140,125,180,0,12,0,20,17,32,17,17,5,0,11,0
AT2G17690.SNP3069,158,175,293,6991,6874,8265,7030,6993,8412,143,159,213,0,8,7,25,18,41,19,19,38,0,0,8
AT2G17690.SNP3070,144,165,282,7105,6797,8371,7829,7801,9424,137,179,229,5,12,8,24,19,43,23,20,42,6,4,6
AT2G17690.SNP3071,291,258,354,4630,4510,5504,6218,5709,8102,226,176,388,7,13,8,4,12,4,5,13,34,6,11,9
AT2G17690.SNP3072,293,255,431,3632,3600,4352,4559,4643,6402,255,205,491,7,12,8,16,12,2,15,9,34,7,13,6
AT2G32990.SNP3513,0,4,0,454,168,221,244,122,109,0,4,0,0,0,0,3,0,1,2,0,0,0,0,0
AT2G32990.SNP3514,0,0,0,622,315,294,453,250,209,0,4,0,0,0,0,2,1,1,2,1,1,0,0,0
AT2G32990.SNP3515,0,0,0,698,406,391,402,242,258,0,0,0,0,0,0,3,0,1,2,1,1,0,0,0
AT2G32990.SNP3516,0,0,0,719,219,343,585,229,320,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
AT2G35670.SNP3613,0,0,0,369,405,403,313,372,360,0,0,0,0,0,0,366,405,410,325,372,373,0,0,0
AT2G35670.SNP3614,0,0,0,369,407,405,313,372,360,0,0,0,0,0,0,366,405,410,325,372,373,0,0,0
AT2G35670.SNP3615,0,0,0,362,405,398,320,372,366,0,0,0,0,0,0,366,405,410,325,372,373,0,0,0
AT2G35670.SNP3616,0,1,0,1082,773,1039,1082,944,760,0,1,0,0,0,0,11,1,28,12,0,22,0,0,0
AT2G35670.SNP3617,0,0,1,676,464,588,829,546,760,0,0,1,0,0,0,4,9,12,3,1,26,0,0,0
AT2G35670.SNP3618,211,183,220,139,84,77,199,137,117,192,169,177,1,2,0,0,0,0,0,0,0,1,2,0
AT3G19350.SNP4226,1,10,0,9258,7465,8182,11518,9424,10710,1,11,3,9,0,0,564,489,489,635,605,679,9,8,0
AT3G19350.SNP4227,1,0,1,312,318,377,2252,2045,2646,0,3,1,0,0,2,373,397,478,2825,2691,3289,0,0,1
AT3G19350.SNP4228,0,0,0,342,361,459,2631,2528,3190,0,0,1,0,0,2,373,397,478,2825,2691,3289,0,0,1
AT4G10640.SNP5688,7,12,0,2716,1976,2536,2670,2042,2317,8,10,0,0,0,0,37,39,113,31,31,94,0,0,0
AT4G10640.SNP5689,12,10,2,2648,1732,2512,2926,2098,2474,10,11,2,0,0,0,46,22,101,30,29,110,0,0,0
AT4G10640.SNP5690,5,3,2,2148,1567,1960,2285,1616,1831,5,2,2,0,0,0,29,41,84,28,14,80,0,0,0
AT4G10640.SNP5691,5,3,6,2298,1675,1810,2689,2070,2892,5,3,6,0,0,0,28,38,76,33,35,73,0,0,0
AT4G10640.SNP5692,5,3,6,2278,1776,1728,2874,2212,2983,5,3,6,0,0,0,27,51,62,32,42,73,0,0,0
AT4G10640.SNP5693,0,3,1,1731,1395,1332,2209,1873,2185,0,5,1,0,0,0,35,48,12,35,47,78,0,0,0
AT4G10640.SNP5694,0,3,0,1276,1061,1039,1475,1375,1839,0,3,0,0,0,0,31,34,6,41,55,36,0,0,0
AT4G10640.SNP5695,4,12,0,1270,1167,1131,1205,1021,861,4,0,0,0,0,0,38,13,3,32,26,32,0,0,0
AT4G10640.SNP5696,36,0,0,1447,1569,1616,1393,1725,1484,21,10,0,0,0,0,52,14,12,51,27,2,0,0,0
AT4G10640.SNP5697,44,0,0,2328,2188,2312,2386,2476,2577,34,6,0,0,0,0,72,65,46,78,62,35,0,0,0
AT4G10640.SNP5698,29,0,0,2096,1853,1968,2274,2258,2457,34,12,0,0,0,0,53,64,38,76,62,48,0,0,0
AT4G10640.SNP5699,16,2,0,2097,1764,1838,2388,2117,2385,21,2,0,0,0,0,45,62,32,55,70,45,0,0,0
AT4G10640.SNP5700,10,2,0,1745,1441,1628,2111,1742,1875,15,1,0,0,0,0,26,29,3,39,54,33,0,0,0
AT4G10640.SNP5701,18,7,0,1460,1275,1507,1889,1583,1719,0,1,0,1,0,0,27,16,2,26,33,17,0,0,0
AT4G10640.SNP5702,0,0,0,746,824,998,1051,960,995,3,5,0,0,0,0,8,6,18,12,0,11,0,0,0
AT4G10640.SNP5703,0,0,0,639,709,825,723,723,661,3,0,0,0,0,0,8,6,18,14,0,19,0,0,0
AT4G10640.SNP5704,0,0,0,671,765,899,674,709,668,3,0,0,0,0,0,9,7,18,14,0,20,0,0,0
